exp,ws_pct,hotspace,hotwrite,seed,mode,WAF
op,75,20,90,1,base,1.033
op,75,20,90,1,fdp,1.010
op,85,20,90,1,base,2.656
op,85,20,90,1,fdp,1.395
op,92,20,90,1,base,10.148
op,92,20,90,1,fdp,4.601
op,96,20,90,1,base,13.414
op,96,20,90,1,fdp,11.622
skew,90,20,70,1,base,5.744
skew,90,20,70,1,fdp,3.953
skew,90,20,85,1,base,5.536
skew,90,20,85,1,fdp,2.585
skew,90,20,95,1,base,5.497
skew,90,20,95,1,fdp,2.166
seed,90,20,90,1,base,5.414
seed,90,20,90,1,fdp,2.565
seed,90,20,90,2,base,5.656
seed,90,20,90,2,fdp,2.380
